role,tier,champion,opponent,winrate
support,master_plus,Yuumi,Alistar,41.03
support,master_plus,Yuumi,Bard,38.33
support,master_plus,Yuumi,Janna,61.29
support,master_plus,Yuumi,Karma,38.24
support,master_plus,Yuumi,Leona,57.58
support,master_plus,Yuumi,Lulu,47.06
support,master_plus,Yuumi,Milio,43.4
support,master_plus,Yuumi,Nami,46.15
support,master_plus,Yuumi,Nautilus,41.67
support,master_plus,Yuumi,Others,50.0
support,master_plus,Yuumi,Pyke,42.86
support,master_plus,Yuumi,Rakan,45.95
support,master_plus,Yuumi,Soraka,50.0
support,master_plus,Yuumi,Thresh,43.86
support,master_plus,Zilean,Alistar,55.88
support,master_plus,Zilean,Bard,51.52
support,master_plus,Zilean,Blitzcrank,67.74
support,master_plus,Zilean,Janna,47.06
support,master_plus,Zilean,Karma,46.25
support,master_plus,Zilean,Lulu,54.29
support,master_plus,Zilean,Milio,56.0
support,master_plus,Zilean,Nami,40.74
support,master_plus,Zilean,Nautilus,54.76
support,master_plus,Zilean,Neeko,53.13
support,master_plus,Zilean,Others,50.0
support,master_plus,Zilean,Rakan,33.33
support,master_plus,Zilean,Thresh,53.7
support,master_plus,Zoe,Bard,48.39
support,master_plus,Zoe,Nami,50.0
support,master_plus,Zoe,Others,50.0
support,master_plus,Zyra,Bard,52.5
support,master_plus,Zyra,Karma,36.84
support,master_plus,Zyra,Lulu,37.84
support,master_plus,Zyra,Nami,57.14
support,master_plus,Zyra,Others,50.0
support,master_plus,Zyra,Thresh,55.0
